C	0.315533981	P	[	99.25660573	30.42948941	1.04718826	40	]
C	0.60199005	P	[	99.39031492	30.82133726	1.0248408	39	]
C	0.857142857	P	[	102.4062745	32.40622448	1.09453403	38	]
C	0.38647343	P	[	100.6172979	30.44059041	1.05327257	40	]
C	0.471698113	P	[	100.2624757	29.99444062	1.04979537	41	]
C	0.368159204	P	[	99.56062843	31.11245678	1.0533828	39	]
C	0.654028436	P	[	100.3643735	29.60887213	1.07354083	41	]
C	0.223300971	P	[	99.52166601	29.88122074	1.04328625	40	]
C	0.378640777	P	[	99.55943139	29.56015772	1.02942159	40	]
C	0.233009709	P	[	99.87082976	30.2079782	1.04327984	40	]
C	0.651741294	P	[	99.68255047	29.96390472	1.01750988	39	]
C	0.330097087	P	[	100.0977921	29.53159277	1.0438597	40	]
C	0.388625592	P	[	100.1544222	29.2036576	1.0428558	41	]
C	0.558375635	P	[	97.8545076	32.86874108	1.05272457	38	]
C	0.446601942	P	[	98.68833429	29.80622707	1.02947919	40	]
C	0.422330097	P	[	99.23173884	29.25189949	1.03161202	40	]
C	0.388059701	P	[	98.97761249	30.97636257	1.04541799	39	]
C	0.422885572	P	[	100.6984983	30.61770198	1.05646108	39	]
C	0.446601942	P	[	99.65253136	30.89078444	1.05692585	40	]
C	0.572815534	P	[	101.4511672	31.05531741	1.07750197	40	]
C	0.519417476	P	[	100.0123719	28.90281026	1.0312936	40	]
C	0.739795918	P	[	101.4073119	31.65534809	1.08522863	38	]
								
Pop	1250	-	Iter	8				
Mean	0.410895023							
C	0.427860697	P	[	100.6493117	31.13084098	1.05968663	39	]
C	0.342995169	P	[	99.18074765	29.9977615	1.03354803	40	]
C	0.213592233	P	[	100.1931485	30.00567696	1.05521117	40	]
C	0.349514563	P	[	100.7138062	30.39799965	1.0558584	40	]
C	0.582089552	P	[	97.18862999	31.82969429	1.03920822	39	]
C	0.169902913	P	[	100.0978687	29.92327189	1.04262902	40	]
C	0.344660194	P	[	100.1107009	29.60080015	1.0496627	40	]
C	0.656716418	P	[	98.74594429	32.24272497	1.06599504	39	]
